,id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
0,40669,https://www.airbnb.com/rooms/40669,20250317171123,2025-03-18,city scrape,Skyy’s Lounge / Cozyaezz so,,"The neighborhood is very diverse & friendly shopping/restaurants on Central Avenue absolutely adorable very safe to walk to. The Neighborhood has a beautiful park walking distance ❤️ read a book ride your bike , rollerblade or just simply relax along the resting area ❤️ the park also has a pool / skating rink/ ice hockey very nice, this park is called Pershing Fields NJ",https://a0.muscache.com/pictures/af7e4a45-0118-4e9b-81c2-de396140d1ae.jpg,175412,https://www.airbnb.com/users/show/175412,Skyy,2010-07-20,"Jersey City, NJ","I am the owner of a high end Nail Salon in the area and I work long days.  I was born and raised in the Mid-West so I have old fashion traditions and values. I consider myself to be a socialite; friendly and easy going. My home is my sanctuary, always clean and extremely peaceful. I love to work out at the gym, pamper my dog and spend time with my child Logan ! The Milk room is infant ready , we supply a baby crib up to age three /60lbs. ",,,100%,f,https://a0.muscache.com/im/users/175412/profile_pic/1357141469/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/175412/profile_pic/1357141469/original.jpg?aki_policy=profile_x_medium,,1,4,"['email', 'phone']",t,f,Neighborhood highlights,Ward C (councilmember Richard Boggiano),,40.73724,-74.0531,Private room in condo,Private room,2,1.0,1 shared bath,1.0,1.0,"[""Cooking basics"", ""Single level home"", ""Hair dryer"", ""Kitchen"", ""Gym"", ""Free street parking"", ""Dishwasher"", ""Washer"", ""Carbon monoxide alarm"", ""Wifi"", ""Microwave"", ""Oven"", ""Luggage dropoff allowed"", ""Host greets you"", ""Air conditioning"", ""Dryer"", ""Hangers"", ""Pocket wifi"", ""High chair"", ""Ethernet connection"", ""Dedicated workspace"", ""Hot water"", ""Game console"", ""TV with standard cable"", ""Smoke alarm"", ""Children\u2019s books and toys"", ""First aid kit"", ""Breakfast"", ""Indoor fireplace"", ""Iron"", ""Fire extinguisher"", ""Coffee maker"", ""Long term stays allowed"", ""Refrigerator"", ""Heating"", ""Dishes and silverware"", ""Stove"", ""Paid parking on premises"", ""Essentials"", ""Changing table"", ""Crib"", ""Children\u2019s dinnerware"", ""Shampoo""]",$150.00,5,365,5,5,365,365,5.0,365.0,,t,23,53,83,83,2025-03-18,22,5,0,83,5,50,7500.0,2010-09-23,2024-11-01,4.95,4.95,4.95,5.0,4.86,4.9,4.95,Exempt,f,1,0,1,0,0.12
1,215768,https://www.airbnb.com/rooms/215768,20250317171123,2025-03-18,city scrape,Minutes to Manhattan & Jersey Shore,Walking to distance to Statue of Liberty and Ellis Island with New York City Skyline.<br />Jersey City Medical Center is less than a mile away from this home.,"Such close proximity to NYC, 7 minutes on the Path  Train to World Trade Center, 25 Mins to Empire State Building in NYC.",https://a0.muscache.com/pictures/miso/Hosting-215768/original/788989bf-d003-4ca8-a395-8f89734185d4.jpeg,846837,https://www.airbnb.com/users/show/846837,Charlaine,2011-07-20,"Jersey City, NJ","Thank you for taking the time to learn a bit about me. My family and I have been proud residents of Jersey City, New Jersey for over a decade, and we truly believe it's a remarkable place to call home. Along with my love for travel, I've had the opportunity to explore various parts of Europe, Asia, and Africa. Among all the wonderful destinations, Tahiti holds a special place in my heart—it felt like paradise on Earth.",within an hour,100%,98%,t,https://a0.muscache.com/im/pictures/user/User-846837/original/8493a3e2-9965-479c-992f-e9d46b595a49.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-846837/original/8493a3e2-9965-479c-992f-e9d46b595a49.jpeg?aki_policy=profile_x_medium,,2,4,"['email', 'phone']",t,t,Neighborhood highlights,Ward F (councilmember Jermaine D. Robinson),,40.71438,-74.0581,Entire home,Entire home/apt,4,1.0,1 bath,1.0,2.0,"[""Dining table"", ""Cooking basics"", ""Hair dryer"", ""Kitchen"", ""Free washer \u2013 In building"", ""Free street parking"", ""Dishwasher"", ""Carbon monoxide alarm"", ""Wifi"", ""Microwave"", ""Oven"", ""Toaster"", ""HDTV with Amazon Prime Video, Apple TV, Disney+, HBO Max, Hulu, Netflix"", ""Luggage dropoff allowed"", ""Private entrance"", ""Host greets you"", ""Coffee"", ""Air conditioning"", ""Dryer"", ""Hangers"", ""Dedicated workspace"", ""Shared patio or balcony"", ""Bed linens"", ""Hot water"", ""Wine glasses"", ""Blender"", ""Smoke alarm"", ""Hot water kettle"", ""Freezer"", ""Iron"", ""Backyard"", ""Fire extinguisher"", ""Extra pillows and blankets"", ""Coffee maker"", ""Refrigerator"", ""Long term stays allowed"", ""Heating"", ""Dishes and silverware"", ""Stove"", ""Essentials"", ""Exterior security cameras on property"", ""Outdoor furniture"", ""Shampoo""]",$182.00,3,1000,3,4,1000,1000,3.9,1000.0,,t,23,50,67,317,2025-03-18,207,29,0,241,28,255,46410.0,2011-09-13,2025-01-02,4.81,4.79,4.91,4.87,4.89,4.38,4.8,STR-006450-2024,f,2,2,0,0,1.26
2,254245,https://www.airbnb.com/rooms/254245,20250317171123,2025-03-18,city scrape,Minutes to Manhattan and NJ Shore,Walking distance to Statue of Liberty and Ellis Island with New York City Skyline.<br />Jersey City Medical Center is less than a mile away from this home.,"Such close proximity to NYC, 7 minutes on the Path  Train to World Trade Center, 25 Mins to Empire State Building in NYC.",https://a0.muscache.com/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MjU0MjQ1/original/7b0bf2ce-4ac9-4e68-95ef-b47fcc875a9f.jpeg,846837,https://www.airbnb.com/users/show/846837,Charlaine,2011-07-20,"Jersey City, NJ","Thank you for taking the time to learn a bit about me. My family and I have been proud residents of Jersey City, New Jersey for over a decade, and we truly believe it's a remarkable place to call home. Along with my love for travel, I've had the opportunity to explore various parts of Europe, Asia, and Africa. Among all the wonderful destinations, Tahiti holds a special place in my heart—it felt like paradise on Earth.",within an hour,100%,98%,t,https://a0.muscache.com/im/pictures/user/User-846837/original/8493a3e2-9965-479c-992f-e9d46b595a49.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-846837/original/8493a3e2-9965-479c-992f-e9d46b595a49.jpeg?aki_policy=profile_x_medium,,2,4,"['email', 'phone']",t,t,Neighborhood highlights,Ward F (councilmember Jermaine D. Robinson),,40.71162,-74.06179,Entire home,Entire home/apt,3,1.0,1 bath,1.0,1.0,"[""Dining table"", ""Cooking basics"", ""Hair dryer"", ""Kitchen"", ""Free street parking"", ""Dishwasher"", ""Carbon monoxide alarm"", ""Wifi"", ""Microwave"", ""Oven"", ""Free washer \u2013 In unit"", ""HDTV with Amazon Prime Video, Apple TV, Disney+, HBO Max, Hulu, Netflix"", ""Toaster"", ""Luggage dropoff allowed"", ""Host greets you"", ""Coffee"", ""Air conditioning"", ""Dryer"", ""Hangers"", ""Clothing storage: closet and dresser"", ""Conditioner"", ""Dedicated workspace"", ""Shared patio or balcony"", ""Ceiling fan"", ""Bed linens"", ""Hot water"", ""Wine glasses"", ""Blender"", ""Smoke alarm"", ""Hot water kettle"", ""Cleaning products"", ""Freezer"", ""Iron"", ""Fire extinguisher"", ""Extra pillows and blankets"", ""Coffee maker"", ""Refrigerator"", ""Long term stays allowed"", ""Heating"", ""Dishes and silverware"", ""Stove"", ""Essentials"", ""Bathtub"", ""Exterior security cameras on property"", ""Shampoo""]",$161.00,3,365,3,4,365,365,3.9,365.0,,t,29,55,80,348,2025-03-18,149,19,0,272,19,175,28175.0,2011-11-21,2025-01-03,4.76,4.78,4.9,4.91,4.85,4.4,4.74,STR-006336-2024,f,2,2,0,0,0.92
3,269266,https://www.airbnb.com/rooms/269266,20250317171123,2025-03-18,city scrape,Modern private 2 bedrooms apt minutes to NYC,"Enjoy that private luxury two bedrooms apartment with exposed brick, custom made barn door and cozy feeling. It comfortably fits five guests and it is perfectly located for those who wants convenient and fast connection to Manhattan with easy access to bus, light rail or Grove street Path train and ferry. From my house you have walking distance to ferry to Statue of Liberty.","Our House is located in the Liberty State Park neighborhood and you are invited to enjoy the private large two bedrooms apartment  on second floor .The kitchen is completely new and is fully supplied with dishes and cookware, and has a gas range, stainless steel refrigerator, granite counter top, microwave and dishwasher. Fresh bedding linens and towels are included. <br /><br />There is also free street parking for those with a car.<br /><br />Location is great. Just 25 - 40 minutes by convenient public transportation to Manhattan and just 10 minutes by car. Walking distance to Liberty State Park with beautiful views of Manhattan, there is recreation area, jogging paths, playground, barbecue areas, Science Museum and the ferry to Ellis Island and the Statue of Liberty. <br /><br />There is 10- 15 minutes walk from historic downtown Jersey City with trendy restaurants, bars, and shops. From there you can take the PATH subway to Manhattan (2 stops to the World Trade Center or 4-5 stops ",https://a0.muscache.com/pictures/miso/Hosting-269266/original/b89ae7d4-5939-4db0-b998-3fe8679012d1.jpeg,1410590,https://www.airbnb.com/users/show/1410590,Magdalena,2011-11-15,"Jersey City, NJ",I am living in New York City area  for several years but I was born in Europe. I enjoy traveling and meeting new people.,within an hour,100%,99%,f,https://a0.muscache.com/im/users/1410590/profile_pic/1440427140/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/1410590/profile_pic/1440427140/original.jpg?aki_policy=profile_x_medium,Bergen-Lafayette,10,19,"['email', 'phone']",t,t,Neighborhood highlights,Ward F (councilmember Jermaine D. Robinson),,40.71135,-74.06374,Entire rental unit,Entire home/apt,5,1.0,1 bath,2.0,3.0,"[""55 inch HDTV"", ""Cooking basics"", ""Hair dryer"", ""Kitchen"", ""Free street parking"", ""Dishwasher"", ""Carbon monoxide alarm"", ""Wifi"", ""Microwave"", ""Oven"", ""Toaster"", ""Luggage dropoff allowed"", ""Board games"", ""Private entrance"", ""Self check-in"", ""Air conditioning"", ""Lockbox"", ""Hangers"", ""Clothing storage: closet and dresser"", ""Room-darkening shades"", ""Dedicated workspace"", ""Ceiling fan"", ""Bed linens"", ""Hot water"", ""Portable fans"", ""Wine glasses"", ""Smoke alarm"", ""First aid kit"", ""Hot water kettle"", ""Cleaning products"", ""Freezer"", ""Laundromat nearby"", ""Iron"", ""Safe"", ""Fire extinguisher"", ""Books and reading material"", ""Extra pillows and blankets"", ""Coffee maker"", ""Refrigerator"", ""Long term stays allowed"", ""Heating"", ""Dishes and silverware"", ""Stove"", ""Essentials"", ""Bathtub"", ""Baby safety gates"", ""Shampoo""]",$123.00,2,365,2,7,1125,1125,3.5,1125.0,,t,15,23,35,296,2025-03-18,472,41,0,220,40,255,31365.0,2011-11-25,2025-02-04,4.38,4.64,4.55,4.72,4.67,3.89,4.46,STR-001785-2025,t,10,1,9,0,2.91
4,271255,https://www.airbnb.com/rooms/271255,20250317171123,2025-03-18,city scrape,Large Room with private bathroom min to Manhattan,"You can enjoy your stay in large bedroom with private new bathroom. This room has queen size bed,  double size sleep sofa and twin size bunk bed, as well as work/desk area and large closet. You are welcome to use kitchen as much as you like. Great neighborhood, just few minutes walking distance from Liberty State Park, where you have beautiful Manhattan view, ferry to Manhattan and to the Statue of Liberty , Liberty Science Center waterfront walking paths, great marina and fantastic restaurant.",,https://a0.muscache.com/pictures/miso/Hosting-271255/original/92bd73c2-cb95-42a3-870f-b0e8fdf65b7b.jpeg,1410590,https://www.airbnb.com/users/show/1410590,Magdalena,2011-11-15,"Jersey City, NJ",I am living in New York City area  for several years but I was born in Europe. I enjoy traveling and meeting new people.,within an hour,100%,99%,f,https://a0.muscache.com/im/users/1410590/profile_pic/1440427140/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/1410590/profile_pic/1440427140/original.jpg?aki_policy=profile_x_medium,Bergen-Lafayette,10,19,"['email', 'phone']",t,t,,Ward F (councilmember Jermaine D. Robinson),,40.71161,-74.06327,Private room in townhouse,Private room,5,1.0,1 private bath,1.0,3.0,"[""Dining table"", ""Cooking basics"", ""Hair dryer"", ""Kitchen"", ""Clothing storage: wardrobe and dresser"", ""Gas stove"", ""Free street parking"", ""Dishwasher"", ""Carbon monoxide alarm"", ""Wifi"", ""Microwave"", ""Oven"", ""Toaster"", ""Luggage dropoff allowed"", ""Board games"", ""Private entrance"", ""Self check-in"", ""Air conditioning"", ""Lockbox"", ""Hangers"", ""Dedicated workspace"", ""Bed linens"", ""Hot water"", ""Wine glasses"", ""Smoke alarm"", ""First aid kit"", ""Hot water kettle"", ""Cleaning products"", ""Freezer"", ""Laundromat nearby"", ""Iron"", ""Safe"", ""Fire extinguisher"", ""Lock on bedroom door"", ""Books and reading material"", ""Extra pillows and blankets"", ""Coffee maker"", ""Refrigerator"", ""Long term stays allowed"", ""Heating"", ""Dishes and silverware"", ""Essentials"", ""Mosquito net"", ""Shampoo""]",$95.00,2,365,2,7,1125,1125,3.3,1125.0,,t,8,12,19,184,2025-03-18,392,25,1,112,29,230,21850.0,2012-04-16,2025-03-03,4.45,4.6,4.69,4.7,4.62,3.89,4.43,STR-001786-2025,t,10,1,9,0,2.49
5,675483,https://www.airbnb.com/rooms/675483,20250317171123,2025-03-18,city scrape,Room & Private Bath~Minutes to NYC!,"Full disclosure - professional photographs make my place look larger and brighter!<br /><br />Downtown Jersey City, two blocks to the PATH train. <br /><br />First floor room w/ queen size bed, private bathroom, and access to the backyard. I live on the 2nd and 3rd floor. <br /><br />Amenities outside the bedroom: small table and chairs, desk and office chair, microwave, toaster oven, mini fridge, electric kettle, utensils, utility sink for washing dishes. No access to upstairs or  full kitchen.","Downtown Jersey City is right outside of Manhattan, and has great restaurants, bars, and shops all within walking distance. There are parks nearby as well. If you walk 10 minutes to the waterfront you will get spectacular views of Manhattan. A large shopping mall and grocery store are also a couple blocks away.  I have lived here over 15 years and feel very safe. <br /><br />Other local attractions include Hoboken and Liberty State Park which has ferry service to the Statue of Liberty, Ellis Island, and Manhattan.",https://a0.muscache.com/pictures/miso/Hosting-675483/original/0aa2942b-89a1-4571-8f7f-7985a64bc9ed.jpeg,2259684,https://www.airbnb.com/users/show/2259684,Leigh,2012-04-30,"Jersey City, NJ","I live in Jersey City and am a WFH graphic artist. I love travel, good food and helping people have a place to rest their head in the NYC area.",within an hour,94%,100%,f,https://a0.muscache.com/im/pictures/user/User/original/f6fd94d5-2212-4a6f-9d0b-24d60d036835.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User/original/f6fd94d5-2212-4a6f-9d0b-24d60d036835.jpeg?aki_policy=profile_x_medium,,1,3,"['email', 'phone']",t,t,Neighborhood highlights,Ward E (councilmember James Solomon),,40.72315,-74.04179,Private room in townhouse,Private room,2,1.0,1 private bath,1.0,1.0,"[""Body soap"", ""Outdoor dining area"", ""Hair dryer"", ""Kitchen"", ""Clothing storage: closet"", ""Private patio or balcony"", ""Single level home"", ""Smart lock"", ""Free street parking"", ""Carbon monoxide alarm"", ""Microwave"", ""Toaster"", ""Luggage dropoff allowed"", ""Free washer \u2013 In unit"", ""Self check-in"", ""Coffee"", ""Mini fridge"", ""Portable heater"", ""Mini fridge  refrigerator"", ""Hangers"", ""Room-darkening shades"", ""Central heating"", ""Conditioner"", ""Dedicated workspace"", ""Bed linens"", ""Ceiling fan"", ""Hot water"", ""Smoke alarm"", ""Window AC unit"", ""First aid kit"", ""Cleaning products"", ""Hot water kettle"", ""Laundromat nearby"", ""Free dryer \u2013 In unit"", ""Iron"", ""Shower gel"", ""Fire extinguisher"", ""Lock on bedroom door"", ""Fast wifi \u2013 432 Mbps"", ""Extra pillows and blankets"", ""Dishes and silverware"", ""Paid parking off premises"", ""Essentials"", ""24 inch TV with Roku, Hulu, Disney+, Amazon Prime Video, Netflix, HBO Max"", ""Outdoor furniture"", ""Shampoo""]",$94.00,3,9,2,3,1125,1125,3.0,1125.0,,t,8,10,19,19,2025-03-18,423,29,2,19,29,255,23970.0,2012-09-17,2025-03-10,4.77,4.85,4.69,4.96,4.94,4.83,4.76,STR-006162-2024,f,1,0,1,0,2.78
6,810860,https://www.airbnb.com/rooms/810860,20250317171123,2025-03-18,city scrape,Spacious Studio minutes away from NYC,"Spacious Studio loft apartment on the ground floor. Can accommodate 4 people. Located in Jersey City, only a 7-minutes walk to Journal Square Path Train subway station and 15 to 20 minutes train ride to NYC. 15 minutes drive to Holland Tunnel. 20 minutes drive to Newark airport. Laundry in the building.","The neighborhood is seconds from ""Little India"", which offers low-budget to formal Indian dining, in addition to Filipino, Latin American, and Egyptian cuisine, reflecting the city's wide ethnic population.  Downtown Jersey City is also minutes away and offers a big variety of Bars and Restaurants.<br /><br />Jersey City is just across the Hudson river, and it's closer and better connected to the heart of Manhattan than some boroughs and locations in New York City. It is literally 10 minutes away from Downtown Manhattan by subway (path train) and 15mn away from Greenwich Village and midtown. The Path Train runs all day and all night on a schedule.",https://a0.muscache.com/pictures/miso/Hosting-810860/original/626aa4d7-098f-4292-a5b2-5bdc3be11578.jpeg,3530754,https://www.airbnb.com/users/show/3530754,Laura,2012-09-10,"Detroit, MI","I am an artist working with movement and stuff. Originally from Italy. 
I travel often with art projects and use airbnb and I equally allow other people to use my house. My place is simple nothing luxurious but with good energy if you are into that, and I try to keep the price affordable.",within a day,100%,80%,t,https://a0.muscache.com/im/users/3530754/profile_pic/1384414411/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/3530754/profile_pic/1384414411/original.jpg?aki_policy=profile_x_medium,,2,10,"['email', 'phone']",t,t,Neighborhood highlights,Ward C (councilmember Richard Boggiano),,40.72617,-74.06481,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,2.0,"[""Cooking basics"", ""Body soap"", ""Pets allowed"", ""Hair dryer"", ""Kitchen"", ""Free street parking"", ""Washer"", ""Carbon monoxide alarm"", ""Wifi"", ""Microwave"", ""Oven"", ""Self check-in"", ""Hangers"", ""Room-darkening shades"", ""Central heating"", ""Conditioner"", ""Dedicated workspace"", ""Paid dryer \u2013 In building"", ""Bed linens"", ""Hot water"", ""Wine glasses"", ""Blender"", ""Smoke alarm"", ""Hot water kettle"", ""Cleaning products"", ""Freezer"", ""Keypad"", ""Iron"", ""Clothing storage"", ""Backyard"", ""Central air conditioning"", ""Extra pillows and blankets"", ""Coffee maker"", ""Refrigerator"", ""Dishes and silverware"", ""Essentials""]",$97.00,28,366,28,28,366,366,28.0,366.0,,t,0,0,0,76,2025-03-18,8,2,0,0,2,112,10864.0,2019-03-30,2024-12-19,4.88,4.88,4.88,4.75,5.0,4.63,4.63,,f,1,1,0,0,0.11
7,818075,https://www.airbnb.com/rooms/818075,20250317171123,2025-03-18,city scrape,Lovely Apartment - Easy access to NYC,"Our guests tell us that they love coming back to the apartment - that it feels like home. We want our guests to know that even though you can see the Empire State Building from the apartment, it still takes about 45 minutes to get into Manhattan.",Our area of Jersey City Heights is quiet and safe and yet just a short bus or train ride to the middle of Manhattan. Guests tell us they enjoy coming back to the quiet of our apartment after a busy day in NYC.,https://a0.muscache.com/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6ODE4MDc1/original/9869ae72-25ce-433a-8a91-3c3cdec9146b.jpeg,4296829,https://www.airbnb.com/users/show/4296829,Harriet,2012-12-01,"Jersey City, NJ",My husband Harry and I have lived in this area all of our lives except for two years in London. We are happy to share our insights about where to go in the NYC area.  Our grown children are gone so we decided to convert our top floor into this lovely vacation rental.  It is a completely separate apartment from our own.  We look forward to having visitors stay in this apartment. We speak some Spanish.,within a few hours,100%,80%,t,https://a0.muscache.com/im/users/4296829/profile_pic/1393787648/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/4296829/profile_pic/1393787648/original.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,Neighborhood highlights,Ward C (councilmember Richard Boggiano),,40.74086,-74.04921,Entire guest suite,Entire home/apt,3,1.0,1 bath,2.0,2.0,"[""Cooking basics"", ""Body soap"", ""Hair dryer"", ""Kitchen"", ""Standalone high chair"", ""HDTV with HBO Max, Netflix, standard cable"", ""Carbon monoxide alarm"", ""Wifi"", ""Microwave"", ""Oven"", ""Toaster"", ""Luggage dropoff allowed"", ""Board games"", ""Private entrance"", ""Coffee"", ""City skyline view"", ""Hangers"", ""Clothing storage: closet and dresser"", ""Conditioner"", ""Dedicated workspace"", ""Pack \u2019n play/Travel crib"", ""Bed linens"", ""Ceiling fan"", ""Hot water"", ""Portable fans"", ""Wine glasses"", ""Smoke alarm"", ""Window AC unit"", ""Children\u2019s books and toys"", ""Cleaning products"", ""Hot water kettle"", ""Baking sheet"", ""Babysitter recommendations"", ""Freezer"", ""Laundromat nearby"", ""Iron"", ""Shower gel"", ""Fire extinguisher"", ""Books and reading material"", ""Extra pillows and blankets"", ""Coffee maker"", ""Refrigerator"", ""Long term stays allowed"", ""Heating"", ""Dishes and silverware"", ""Stove"", ""Essentials"", ""Children\u2019s dinnerware"", ""Shampoo""]",$116.00,3,180,1,3,180,180,3.0,180.0,,t,5,11,14,125,2025-03-18,208,33,2,51,30,255,29580.0,2013-02-10,2025-02-23,4.95,4.97,4.97,4.99,4.97,4.69,4.93,STR-005916-2024,f,1,1,0,0,1.41
8,938292,https://www.airbnb.com/rooms/938292,20250317171123,2025-03-18,city scrape,New apt in downtown JC minutes away from Manhattan,"One-bedroom apartment in the heart of downtown Jersey City. Located very conveniently to commute or travel to Manhattan and to arrive, door to door,  in less than 30 minutes to most of the relevant places in NY, such as Wall Street, Greenwich Village, or Penn Station in Midtown. <br /><br /><br />Enjoy this one bedroom apartment, that accommodates 4 people, and its completely new furniture. It also includes wifi, TV with Netflix, and a large kitchen with all appliances including dishwasher.","The neighborhood is safe and trendy. It’s a great neighborhood for New York City commuters and travelers as well as for those that want to enjoy a bit more calmness than Manhattan while being minutes away from it.<br /><br />Aside from the proximity to the underground transportation with Manhattan and other parts of New Jersey, you will have in less than 5 minutes walk a large diversity of exciting cafes, restaurants, bars, shops, yoga studios, gyms and a great supermarket (Keyfood). <br /><br />In less than 15 minutes walk you will reach a large shopping mall, a multiplex movie theater, several parks, and the riverside with some of the best views in the New York Metropolitan Area. If you want more shopping, next to the Newport Mall, you can find Shoprite, BJ’S Wholesale, Bed Bath & Beyond, The Home Depot and Target.",https://a0.muscache.com/pictures/d291ee79-6a96-459e-be0e-5ccf1f1a700e.jpg,1450378,https://www.airbnb.com/users/show/1450378,Alfredo,2011-11-28,"New York, NY","Spanish architect with offices in New York, Miami, Madrid, and Chennai. Passionate about traveling and understanding other ways of living and thinking. I had the fortune to live and work on five continents. I use Airbnb to both host and travel as a guest. ",within a few hours,100%,86%,f,https://a0.muscache.com/im/users/1450378/profile_pic/1360771618/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/1450378/profile_pic/1360771618/original.jpg?aki_policy=profile_x_medium,,5,8,"['email', 'phone']",t,t,Neighborhood highlights,Ward E (councilmember James Solomon),,40.72371,-74.04931,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,3.0,"[""Cooking basics"", ""Hair dryer"", ""Kitchen"", ""Smart lock"", ""Free street parking"", ""Dishwasher"", ""Carbon monoxide alarm"", ""Wifi"", ""Microwave"", ""Oven"", ""Luggage dropoff allowed"", ""Self check-in"", ""Air conditioning"", ""Hangers"", ""Pocket wifi"", ""Dedicated workspace"", ""Bed linens"", ""Hot water"", ""TV with standard cable"", ""Smoke alarm"", ""Iron"", ""Fire extinguisher"", ""Extra pillows and blankets"", ""Coffee maker"", ""Refrigerator"", ""Long term stays allowed"", ""Heating"", ""Dishes and silverware"", ""Stove"", ""Essentials"", ""Exterior security cameras on property"", ""Shampoo""]",$98.00,29,1125,29,29,1125,1125,29.0,1125.0,,t,0,27,57,332,2025-03-18,21,1,0,256,1,58,5684.0,2016-07-29,2024-06-30,4.71,4.76,4.48,4.81,4.95,4.9,4.48,,f,3,3,0,0,0.2
9,946048,https://www.airbnb.com/rooms/946048,20250317171123,2025-03-18,city scrape,Newly renovated small studio.  1 Month or more,Studio in the heart of downtown Jersey City. Minimum stay of 29 days. Convenient to commute to Manhattan in less than 30 min to most of the cool places in NYC. Approx 200 sqft (18m2) (small but you will have the convenience of privacy with a whole studio for yourself). New furniture. TV with Netflix. Includes kitchenette with Sink. Fridge & micro-oven available (No stove). Includes WiFi & Air Conditioner. Long built-in closet and south orientation & two large windows. Storage available off-unit.,"The neighborhood is safe and trendy. It’s a great neighborhood for New York City commuters and travelers as well as for those that want to enjoy a bit more calmness than Manhattan while being minutes away from it.<br /><br />Aside from the proximity to the underground transportation with Manhattan and other parts of New Jersey, you will have in less than 5 minutes walk a large diversity of exciting cafes, restaurants, bars, shops, yoga studios, gyms and a great supermarket (Keyfood).<br /><br />In less than 15 minutes walk you will reach a large shopping mall, a multiplex movie theater, several parks, and the riverside with some of the best views in the New York Metropolitan Area. If you want more shopping, next to the Newport Mall, you can find Shoprite, BJ’S Wholesale, Bed Bath & Beyond, The Home Depot and Target.<br /><br />Enjoy this studio, that accommodates 2 people. It also includes wifi.",https://a0.muscache.com/pictures/miso/Hosting-946048/original/ddb5e6ae-7ca0-4860-b049-9ed16d2e6a39.jpeg,1450378,https://www.airbnb.com/users/show/1450378,Alfredo,2011-11-28,"New York, NY","Spanish architect with offices in New York, Miami, Madrid, and Chennai. Passionate about traveling and understanding other ways of living and thinking. I had the fortune to live and work on five continents. I use Airbnb to both host and travel as a guest. ",within a few hours,100%,86%,f,https://a0.muscache.com/im/users/1450378/profile_pic/1360771618/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/1450378/profile_pic/1360771618/original.jpg?aki_policy=profile_x_medium,,5,8,"['email', 'phone']",t,t,Neighborhood highlights,Ward E (councilmember James Solomon),,40.72398,-74.05023,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Dining table"", ""Body soap"", ""Hair dryer"", ""Smart lock"", ""Clothing storage: closet"", ""Rice maker"", ""32 inch HDTV with Netflix, Roku"", ""Carbon monoxide alarm"", ""Wifi"", ""Microwave"", ""Toaster"", ""Private entrance"", ""Self check-in"", ""Air conditioning"", ""Dryer"", ""Mini fridge"", ""Hangers"", ""Room-darkening shades"", ""Conditioner"", ""Dedicated workspace"", ""Bed linens"", ""Portable fans"", ""Hot water"", ""Wine glasses"", ""Smoke alarm"", ""Hot water kettle"", ""Cleaning products"", ""Kitchenette"", ""Private hot tub"", ""Iron"", ""Shower gel"", ""Fire extinguisher"", ""Extra pillows and blankets"", ""Coffee maker"", ""Long term stays allowed"", ""Heating"", ""Dishes and silverware"", ""Essentials"", ""Exterior security cameras on property"", ""Shampoo""]",$76.00,29,1125,28,29,1125,1125,28.9,1125.0,,t,2,2,15,51,2025-03-18,25,2,0,51,2,116,8816.0,2016-09-25,2024-12-23,4.84,4.76,4.76,4.96,4.92,4.84,4.83,,f,3,3,0,0,0.24
